Biomarker	Condition	label
28264009::span:61:72	28264009::span:47:53	1
28264009::span:61:72	28264009::span:245:266	1
28264009::span:61:72	28264009::span:269:275	1
28264009::span:61:72	28264009::span:409:415	1
28264009::span:380:398	28264009::span:47:53	1
28264009::span:380:398	28264009::span:245:266	1
28264009::span:380:398	28264009::span:269:275	1
28264009::span:380:398	28264009::span:409:415	1
28264009::span:401:402	28264009::span:47:53	1
28264009::span:401:402	28264009::span:245:266	1
28264009::span:401:402	28264009::span:269:275	1
28264009::span:401:402	28264009::span:409:415	1
28264009::span:535:536	28264009::span:47:53	1
28264009::span:535:536	28264009::span:245:266	1
28264009::span:535:536	28264009::span:269:275	1
28264009::span:535:536	28264009::span:409:415	1
28264009::span:47:53	28264009::span:55:57	1
28264009::span:47:53	28264009::span:417:444	1
28264009::span:47:53	28264009::span:447:449	1
28264009::span:245:266	28264009::span:55:57	1
28264009::span:245:266	28264009::span:417:444	1
28264009::span:245:266	28264009::span:447:449	1
28264009::span:269:275	28264009::span:55:57	1
28264009::span:269:275	28264009::span:417:444	1
28264009::span:269:275	28264009::span:447:449	1
28264009::span:409:415	28264009::span:55:57	1
28264009::span:409:415	28264009::span:417:444	1
28264009::span:409:415	28264009::span:447:449	1
28263981::span:0:6	28263981::span:790:825	1
28263981::span:141:147	28263981::span:790:825	1
28263981::span:161:164	28263981::span:790:825	1
28263981::span:579:585	28263981::span:790:825	1
28263981::span:593:596	28263981::span:790:825	1
28263981::span:867:873	28263981::span:790:825	1
28263981::span:1020:1026	28263981::span:790:825	1
28263981::span:790:825	28263981::span:0:6	1
28263981::span:790:825	28263981::span:141:147	1
28263981::span:790:825	28263981::span:161:164	1
28263981::span:790:825	28263981::span:579:585	1
28263981::span:790:825	28263981::span:593:596	1
28263981::span:790:825	28263981::span:867:873	1
28263981::span:790:825	28263981::span:1020:1026	1
28263981::span:0:6	28263981::span:455:463	1
28263981::span:141:147	28263981::span:455:463	1
28263981::span:161:164	28263981::span:455:463	1
28263981::span:579:585	28263981::span:455:463	1
28263981::span:593:596	28263981::span:455:463	1
28263981::span:867:873	28263981::span:455:463	1
28263981::span:1020:1026	28263981::span:455:463	1
28263971::span:0:34	28263971::span:1345:1348	1
28263971::span:79:110	28263971::span:1345:1348	1
28263971::span:113:116	28263971::span:1345:1348	1
28263971::span:215:218	28263971::span:1345:1348	1
28263971::span:384:387	28263971::span:1345:1348	1
28263971::span:652:655	28263971::span:1345:1348	1
28263971::span:792:795	28263971::span:1345:1348	1
28263971::span:952:1006	28263971::span:1345:1348	1
28263971::span:1128:1131	28263971::span:1345:1348	1
28263971::span:1345:1348	28263971::span:1354:1357	1
28263971::span:1354:1357	28263971::span:1389:1399	1
28263971::span:1389:1399	28263971::span:1401:1406	1
28263971::span:1401:1406	28263971::span:1409:1412	1
28263971::span:1409:1412	28263971::span:1418:1422	1
28263971::span:1418:1422	28263971::span:600:609	1
28263971::span:600:609	28263971::span:736:748	1
28263971::span:600:609	28263971::span:1060:1072	1
28263955::span:1624:1627	28263955::span:593:629	1
28263955::span:1624:1627	28263955::span:632:635	1
28263955::span:1624:1627	28263955::span:1196:1199	1
28263955::span:593:629	28263955::span:1340:1343	1
28263955::span:632:635	28263955::span:1340:1343	1
28263955::span:1196:1199	28263955::span:1340:1343	1
28263955::span:1340:1343	28263955::span:593:629	1
28263955::span:1340:1343	28263955::span:632:635	1
28263955::span:1340:1343	28263955::span:1196:1199	1
28263955::span:593:629	28263955::span:1345:1347	1
28263955::span:632:635	28263955::span:1345:1347	1
28263955::span:1196:1199	28263955::span:1345:1347	1
28263955::span:1345:1347	28263955::span:593:629	1
28263955::span:1345:1347	28263955::span:632:635	1
28263955::span:1345:1347	28263955::span:1196:1199	1
28263955::span:593:629	28263955::span:1340:1343	1
28263955::span:632:635	28263955::span:1340:1343	1
28263955::span:1196:1199	28263955::span:1340:1343	1
28263955::span:1340:1343	28263955::span:693:726	1
28263955::span:1340:1343	28263955::span:729:732	1
28263955::span:1340:1343	28263955::span:1244:1247	1
28263955::span:693:726	28263955::span:1317:1319	1
28263955::span:693:726	28263955::span:1598:1600	1
28263955::span:729:732	28263955::span:1317:1319	1
28263955::span:729:732	28263955::span:1598:1600	1
28263955::span:1244:1247	28263955::span:1317:1319	1
28263955::span:1244:1247	28263955::span:1598:1600	1
28263955::span:1317:1319	28263955::span:593:629	1
28263955::span:1317:1319	28263955::span:632:635	1
28263955::span:1317:1319	28263955::span:1196:1199	1
28263955::span:1598:1600	28263955::span:593:629	1
28263955::span:1598:1600	28263955::span:632:635	1
28263955::span:1598:1600	28263955::span:1196:1199	1
28263955::span:593:629	28263955::span:1317:1319	1
28263955::span:593:629	28263955::span:1598:1600	1
28263955::span:632:635	28263955::span:1317:1319	1
28263955::span:632:635	28263955::span:1598:1600	1
28263955::span:1196:1199	28263955::span:1317:1319	1
28263955::span:1196:1199	28263955::span:1598:1600	1
28263955::span:1317:1319	28263955::span:693:726	1
28263955::span:1317:1319	28263955::span:729:732	1
28263955::span:1317:1319	28263955::span:1244:1247	1
28263955::span:1598:1600	28263955::span:693:726	1
28263955::span:1598:1600	28263955::span:729:732	1
28263955::span:1598:1600	28263955::span:1244:1247	1
28263955::span:693:726	28263955::span:1345:1347	1
28263955::span:729:732	28263955::span:1345:1347	1
28263955::span:1244:1247	28263955::span:1345:1347	1
28263955::span:1345:1347	28263955::span:693:726	1
28263955::span:1345:1347	28263955::span:729:732	1
28263955::span:1345:1347	28263955::span:1244:1247	1
28263955::span:693:726	28263955::span:1624:1627	1
28263955::span:729:732	28263955::span:1624:1627	1
28263955::span:1244:1247	28263955::span:1624:1627	1
28263955::span:1624:1627	28263955::span:693:726	1
28263955::span:1624:1627	28263955::span:729:732	1
28263955::span:1624:1627	28263955::span:1244:1247	1
28263860::span:32:57	28263860::span:864:894	1
28263860::span:138:163	28263860::span:864:894	1
28263860::span:166:173	28263860::span:864:894	1
28263860::span:402:409	28263860::span:864:894	1
28263860::span:549:556	28263860::span:864:894	1
28263860::span:614:621	28263860::span:864:894	1
28263860::span:851:858	28263860::span:864:894	1
28263860::span:896:903	28263860::span:864:894	1
28263860::span:936:943	28263860::span:864:894	1
28263860::span:1088:1095	28263860::span:864:894	1
28263860::span:1413:1420	28263860::span:864:894	1
28263860::span:1596:1603	28263860::span:864:894	1
28263860::span:1683:1690	28263860::span:864:894	1
28263738::span:19:23	28263738::span:481:497	1
28263738::span:99:142	28263738::span:481:497	1
28263738::span:288:292	28263738::span:481:497	1
28263738::span:777:804	28263738::span:481:497	1
28263738::span:1047:1067	28263738::span:481:497	1
28263738::span:1273:1277	28263738::span:481:497	1
28263738::span:481:497	28263738::span:500:518	1
28263701::span:1156:1185	28263701::span:1194:1226	1
28263701::span:1156:1185	28263701::span:1841:1874	1
28263701::span:1821:1832	28263701::span:1194:1226	1
28263701::span:1821:1832	28263701::span:1841:1874	1
28263701::span:1194:1226	28263701::span:841:859	1
28263701::span:1841:1874	28263701::span:841:859	1
28263550::span:189:199	28263550::span:562:566	1
28263550::span:665:690	28263550::span:562:566	1
28263550::span:883:904	28263550::span:562:566	1
28263550::span:998:1017	28263550::span:562:566	1
28263542::span:545:564	28263542::span:0:38	1
28263542::span:567:570	28263542::span:0:38	1
28263542::span:593:596	28263542::span:0:38	1
28263542::span:0:38	28263542::span:43:53	1
28263542::span:0:38	28263542::span:68:78	1
28263542::span:0:38	28263542::span:519:521	1
28263542::span:0:38	28263542::span:601:603	1
28263542::span:0:38	28263542::span:850:860	1
28263542::span:0:38	28263542::span:863:865	1
28263542::span:0:38	28263542::span:1876:1878	1
28263542::span:43:53	28263542::span:0:38	1
28263542::span:68:78	28263542::span:0:38	1
28263542::span:519:521	28263542::span:0:38	1
28263542::span:601:603	28263542::span:0:38	1
28263542::span:850:860	28263542::span:0:38	1
28263542::span:863:865	28263542::span:0:38	1
28263542::span:1876:1878	28263542::span:0:38	1
28263535::span:1049:1051	28263535::span:905:908	1
28263535::span:1393:1395	28263535::span:905:908	1
28263504::span:22:61	28263504::span:646:680	1
28263504::span:152:156	28263504::span:646:680	1
28263489::span:0:2	28263489::span:14:23	1
28263489::span:0:2	28263489::span:873:877	1
28263489::span:0:2	28263489::span:1299:1303	1
28263489::span:133:154	28263489::span:14:23	1
28263489::span:133:154	28263489::span:873:877	1
28263489::span:133:154	28263489::span:1299:1303	1
28263489::span:425:427	28263489::span:14:23	1
28263489::span:425:427	28263489::span:873:877	1
28263489::span:425:427	28263489::span:1299:1303	1
28263489::span:861:863	28263489::span:14:23	1
28263489::span:861:863	28263489::span:873:877	1
28263489::span:861:863	28263489::span:1299:1303	1
28263489::span:14:23	28263489::span:815:834	1
28263489::span:873:877	28263489::span:815:834	1
28263489::span:1299:1303	28263489::span:815:834	1
28263391::span:18:33	28263391::span:1226:1232	1
28263391::span:280:302	28263391::span:1226:1232	1
28263391::span:1378:1421	28263391::span:1226:1232	1
28263391::span:1226:1232	28263391::span:45:48	1
28263391::span:1226:1232	28263391::span:502:538	1
28263391::span:45:48	28263391::span:1167:1171	1
28263391::span:502:538	28263391::span:1167:1171	1
28263391::span:1167:1171	28263391::span:1174:1179	1
28263391::span:1174:1179	28263391::span:1182:1187	1
28263391::span:1182:1187	28263391::span:1190:1196	1
28263391::span:1190:1196	28263391::span:1199:1205	1
28263391::span:1199:1205	28263391::span:1208:1211	1
28263391::span:1208:1211	28263391::span:1214:1220	1
28263391::span:1214:1220	28263391::span:967:986	1
28263294::span:24:53	28263294::span:593:617	1
28263294::span:475:504	28263294::span:593:617	1
28263294::span:507:512	28263294::span:593:617	1
28263294::span:629:634	28263294::span:593:617	1
28263294::span:714:719	28263294::span:593:617	1
28263294::span:834:839	28263294::span:593:617	1
28263294::span:924:929	28263294::span:593:617	1
28263294::span:994:999	28263294::span:593:617	1
28263294::span:1132:1137	28263294::span:593:617	1
28263294::span:1355:1360	28263294::span:593:617	1
28263294::span:1425:1430	28263294::span:593:617	1
28263294::span:1698:1703	28263294::span:593:617	1
28263294::span:1775:1780	28263294::span:593:617	1
28263294::span:2010:2015	28263294::span:593:617	1
28263294::span:2306:2311	28263294::span:593:617	1
28263294::span:2367:2372	28263294::span:593:617	1
28263294::span:2484:2489	28263294::span:593:617	1
28263294::span:2559:2564	28263294::span:593:617	1
28263294::span:2717:2722	28263294::span:593:617	1
28263219::span:261:271	28263219::span:13:30	1
28263219::span:261:271	28263219::span:141:161	1
28263219::span:261:271	28263219::span:164:166	1
28263219::span:261:271	28263219::span:548:568	1
28263219::span:261:271	28263219::span:1894:1914	1
28263219::span:798:808	28263219::span:13:30	1
28263219::span:798:808	28263219::span:141:161	1
28263219::span:798:808	28263219::span:164:166	1
28263219::span:798:808	28263219::span:548:568	1
28263219::span:798:808	28263219::span:1894:1914	1
28263219::span:1082:1092	28263219::span:13:30	1
28263219::span:1082:1092	28263219::span:141:161	1
28263219::span:1082:1092	28263219::span:164:166	1
28263219::span:1082:1092	28263219::span:548:568	1
28263219::span:1082:1092	28263219::span:1894:1914	1
28263219::span:1315:1325	28263219::span:13:30	1
28263219::span:1315:1325	28263219::span:141:161	1
28263219::span:1315:1325	28263219::span:164:166	1
28263219::span:1315:1325	28263219::span:548:568	1
28263219::span:1315:1325	28263219::span:1894:1914	1
28263219::span:1384:1394	28263219::span:13:30	1
28263219::span:1384:1394	28263219::span:141:161	1
28263219::span:1384:1394	28263219::span:164:166	1
28263219::span:1384:1394	28263219::span:548:568	1
28263219::span:1384:1394	28263219::span:1894:1914	1
28263219::span:1668:1678	28263219::span:13:30	1
28263219::span:1668:1678	28263219::span:141:161	1
28263219::span:1668:1678	28263219::span:164:166	1
28263219::span:1668:1678	28263219::span:548:568	1
28263219::span:1668:1678	28263219::span:1894:1914	1
28263219::span:1999:2009	28263219::span:13:30	1
28263219::span:1999:2009	28263219::span:141:161	1
28263219::span:1999:2009	28263219::span:164:166	1
28263219::span:1999:2009	28263219::span:548:568	1
28263219::span:1999:2009	28263219::span:1894:1914	1
28263100::span:16:21	28263100::span:453:482	1
28263100::span:16:21	28263100::span:485:488	1
28263100::span:76:93	28263100::span:453:482	1
28263100::span:76:93	28263100::span:485:488	1
28263100::span:96:101	28263100::span:453:482	1
28263100::span:96:101	28263100::span:485:488	1
28263100::span:306:311	28263100::span:453:482	1
28263100::span:306:311	28263100::span:485:488	1
28263100::span:419:424	28263100::span:453:482	1
28263100::span:419:424	28263100::span:485:488	1
28263100::span:966:971	28263100::span:453:482	1
28263100::span:966:971	28263100::span:485:488	1
28263100::span:1229:1234	28263100::span:453:482	1
28263100::span:1229:1234	28263100::span:485:488	1
28263100::span:1543:1548	28263100::span:453:482	1
28263100::span:1543:1548	28263100::span:485:488	1
28263100::span:1701:1706	28263100::span:453:482	1
28263100::span:1701:1706	28263100::span:485:488	1
28263100::span:1887:1892	28263100::span:453:482	1
28263100::span:1887:1892	28263100::span:485:488	1
28263100::span:2020:2025	28263100::span:453:482	1
28263100::span:2020:2025	28263100::span:485:488	1
28262798::span:0:16	28262798::span:822:847	1
28262798::span:692:693	28262798::span:822:847	1
28262798::span:728:729	28262798::span:822:847	1
28262798::span:929:930	28262798::span:822:847	1
28262798::span:999:1000	28262798::span:822:847	1
28262798::span:1016:1017	28262798::span:822:847	1
28262798::span:1162:1163	28262798::span:822:847	1
28262798::span:1243:1244	28262798::span:822:847	1
28262798::span:1258:1259	28262798::span:822:847	1
28262773::span:1138:1158	28262773::span:762:778	1
28262773::span:1138:1158	28262773::span:784:829	1
28262773::span:762:778	28262773::span:1138:1158	1
28262773::span:784:829	28262773::span:1138:1158	1
28262773::span:1138:1158	28262773::span:0:11	1
28262773::span:1138:1158	28262773::span:488:499	1
28262773::span:1138:1158	28262773::span:649:660	1
28262773::span:1138:1158	28262773::span:745:756	1
28262773::span:1138:1158	28262773::span:917:928	1
28262773::span:0:11	28262773::span:1164:1176	1
28262773::span:488:499	28262773::span:1164:1176	1
28262773::span:649:660	28262773::span:1164:1176	1
28262773::span:745:756	28262773::span:1164:1176	1
28262773::span:917:928	28262773::span:1164:1176	1
28262773::span:1164:1176	28262773::span:0:11	1
28262773::span:1164:1176	28262773::span:488:499	1
28262773::span:1164:1176	28262773::span:649:660	1
28262773::span:1164:1176	28262773::span:745:756	1
28262773::span:1164:1176	28262773::span:917:928	1
28262773::span:0:11	28262773::span:1164:1176	1
28262773::span:488:499	28262773::span:1164:1176	1
28262773::span:649:660	28262773::span:1164:1176	1
28262773::span:745:756	28262773::span:1164:1176	1
28262773::span:917:928	28262773::span:1164:1176	1
28262773::span:1164:1176	28262773::span:762:778	1
28262773::span:1164:1176	28262773::span:784:829	1
28262748::span:58:64	28262748::span:690:708	1
28262748::span:126:132	28262748::span:690:708	1
28262748::span:269:275	28262748::span:690:708	1
28262748::span:656:662	28262748::span:690:708	1
28262748::span:789:795	28262748::span:690:708	1
28262748::span:897:903	28262748::span:690:708	1
28262748::span:918:924	28262748::span:690:708	1
28262748::span:1055:1061	28262748::span:690:708	1
28262748::span:1178:1184	28262748::span:690:708	1
28262748::span:1292:1298	28262748::span:690:708	1
28262748::span:690:708	28262748::span:26:52	1
28262748::span:690:708	28262748::span:88:114	1
28262748::span:690:708	28262748::span:117:119	1
28262748::span:690:708	28262748::span:261:263	1
28262748::span:690:708	28262748::span:648:650	1
28262748::span:690:708	28262748::span:781:783	1
28262748::span:690:708	28262748::span:889:891	1
28262748::span:690:708	28262748::span:910:912	1
28262748::span:690:708	28262748::span:1047:1049	1
28262748::span:690:708	28262748::span:1170:1172	1
28262748::span:690:708	28262748::span:1284:1286	1
28262748::span:26:52	28262748::span:690:708	1
28262748::span:88:114	28262748::span:690:708	1
28262748::span:117:119	28262748::span:690:708	1
28262748::span:261:263	28262748::span:690:708	1
28262748::span:648:650	28262748::span:690:708	1
28262748::span:781:783	28262748::span:690:708	1
28262748::span:889:891	28262748::span:690:708	1
28262748::span:910:912	28262748::span:690:708	1
28262748::span:1047:1049	28262748::span:690:708	1
28262748::span:1170:1172	28262748::span:690:708	1
28262748::span:1284:1286	28262748::span:690:708	1
28262744::span:673:706	28262744::span:1136:1141	1
28262744::span:709:711	28262744::span:1136:1141	1
28262744::span:1136:1141	28262744::span:761:775	1
28262744::span:1136:1141	28262744::span:778:780	1
28262744::span:761:775	28262744::span:531:547	1
28262744::span:761:775	28262744::span:550:551	1
28262744::span:778:780	28262744::span:531:547	1
28262744::span:778:780	28262744::span:550:551	1
28262744::span:531:547	28262744::span:673:706	1
28262744::span:531:547	28262744::span:709:711	1
28262744::span:550:551	28262744::span:673:706	1
28262744::span:550:551	28262744::span:709:711	1
28262744::span:673:706	28262744::span:1089:1133	1
28262744::span:709:711	28262744::span:1089:1133	1
28262744::span:1089:1133	28262744::span:847:871	1
28262744::span:1089:1133	28262744::span:874:877	1
28262744::span:847:871	28262744::span:1089:1133	1
28262744::span:874:877	28262744::span:1089:1133	1
28262744::span:1089:1133	28262744::span:715:747	1
28262744::span:1089:1133	28262744::span:750:753	1
28262744::span:1089:1133	28262744::span:1355:1358	1
28262744::span:715:747	28262744::span:1063:1083	1
28262744::span:750:753	28262744::span:1063:1083	1
28262744::span:1355:1358	28262744::span:1063:1083	1
28262744::span:1063:1083	28262744::span:761:775	1
28262744::span:1063:1083	28262744::span:778:780	1
28262744::span:761:775	28262744::span:1136:1141	1
28262744::span:778:780	28262744::span:1136:1141	1
28262744::span:1136:1141	28262744::span:715:747	1
28262744::span:1136:1141	28262744::span:750:753	1
28262744::span:1136:1141	28262744::span:1355:1358	1
28262744::span:715:747	28262744::span:1136:1141	1
28262744::span:750:753	28262744::span:1136:1141	1
28262744::span:1355:1358	28262744::span:1136:1141	1
28262744::span:1136:1141	28262744::span:847:871	1
28262744::span:1136:1141	28262744::span:874:877	1
28262744::span:847:871	28262744::span:1136:1141	1
28262744::span:874:877	28262744::span:1136:1141	1
28262744::span:1136:1141	28262744::span:715:747	1
28262744::span:1136:1141	28262744::span:750:753	1
28262744::span:1136:1141	28262744::span:1355:1358	1
28262744::span:715:747	28262744::span:531:547	1
28262744::span:715:747	28262744::span:550:551	1
28262744::span:750:753	28262744::span:531:547	1
28262744::span:750:753	28262744::span:550:551	1
28262744::span:1355:1358	28262744::span:531:547	1
28262744::span:1355:1358	28262744::span:550:551	1
28262744::span:531:547	28262744::span:673:706	1
28262744::span:531:547	28262744::span:709:711	1
28262744::span:550:551	28262744::span:673:706	1
28262744::span:550:551	28262744::span:709:711	1
28262744::span:673:706	28262744::span:531:547	1
28262744::span:673:706	28262744::span:550:551	1
28262744::span:709:711	28262744::span:531:547	1
28262744::span:709:711	28262744::span:550:551	1
28262744::span:531:547	28262744::span:847:871	1
28262744::span:531:547	28262744::span:874:877	1
28262744::span:550:551	28262744::span:847:871	1
28262744::span:550:551	28262744::span:874:877	1
28262744::span:847:871	28262744::span:1063:1083	1
28262744::span:874:877	28262744::span:1063:1083	1
28262744::span:1063:1083	28262744::span:673:706	1
28262744::span:1063:1083	28262744::span:709:711	1
28262744::span:673:706	28262744::span:1063:1083	1
28262744::span:709:711	28262744::span:1063:1083	1
28262744::span:1063:1083	28262744::span:761:775	1
28262744::span:1063:1083	28262744::span:778:780	1
28262744::span:761:775	28262744::span:1063:1083	1
28262744::span:778:780	28262744::span:1063:1083	1
28262744::span:1063:1083	28262744::span:847:871	1
28262744::span:1063:1083	28262744::span:874:877	1
28262744::span:847:871	28262744::span:531:547	1
28262744::span:847:871	28262744::span:550:551	1
28262744::span:874:877	28262744::span:531:547	1
28262744::span:874:877	28262744::span:550:551	1
28262744::span:531:547	28262744::span:715:747	1
28262744::span:531:547	28262744::span:750:753	1
28262744::span:531:547	28262744::span:1355:1358	1
28262744::span:550:551	28262744::span:715:747	1
28262744::span:550:551	28262744::span:750:753	1
28262744::span:550:551	28262744::span:1355:1358	1
28262744::span:715:747	28262744::span:1089:1133	1
28262744::span:750:753	28262744::span:1089:1133	1
28262744::span:1355:1358	28262744::span:1089:1133	1
28262744::span:1089:1133	28262744::span:761:775	1
28262744::span:1089:1133	28262744::span:778:780	1
28262744::span:761:775	28262744::span:1089:1133	1
28262744::span:778:780	28262744::span:1089:1133	1
28262744::span:1089:1133	28262744::span:673:706	1
28262744::span:1089:1133	28262744::span:709:711	1
28262744::span:673:706	28262744::span:83:100	1
28262744::span:673:706	28262744::span:598:624	1
28262744::span:709:711	28262744::span:83:100	1
28262744::span:709:711	28262744::span:598:624	1
28262744::span:83:100	28262744::span:761:775	1
28262744::span:83:100	28262744::span:778:780	1
28262744::span:598:624	28262744::span:761:775	1
28262744::span:598:624	28262744::span:778:780	1
28262744::span:761:775	28262744::span:83:100	1
28262744::span:761:775	28262744::span:598:624	1
28262744::span:778:780	28262744::span:83:100	1
28262744::span:778:780	28262744::span:598:624	1
28262744::span:83:100	28262744::span:847:871	1
28262744::span:83:100	28262744::span:874:877	1
28262744::span:598:624	28262744::span:847:871	1
28262744::span:598:624	28262744::span:874:877	1
28262744::span:847:871	28262744::span:83:100	1
28262744::span:847:871	28262744::span:598:624	1
28262744::span:874:877	28262744::span:83:100	1
28262744::span:874:877	28262744::span:598:624	1
28262744::span:83:100	28262744::span:715:747	1
28262744::span:83:100	28262744::span:750:753	1
28262744::span:83:100	28262744::span:1355:1358	1
28262744::span:598:624	28262744::span:715:747	1
28262744::span:598:624	28262744::span:750:753	1
28262744::span:598:624	28262744::span:1355:1358	1
28262744::span:715:747	28262744::span:83:100	1
28262744::span:715:747	28262744::span:598:624	1
28262744::span:750:753	28262744::span:83:100	1
28262744::span:750:753	28262744::span:598:624	1
28262744::span:1355:1358	28262744::span:83:100	1
28262744::span:1355:1358	28262744::span:598:624	1
28262740::span:357:376	28262740::span:521:548	1
28262740::span:357:376	28262740::span:551:553	1
28262740::span:357:376	28262740::span:775:777	1
28262740::span:357:376	28262740::span:895:897	1
28262740::span:379:382	28262740::span:521:548	1
28262740::span:379:382	28262740::span:551:553	1
28262740::span:379:382	28262740::span:775:777	1
28262740::span:379:382	28262740::span:895:897	1
28262740::span:410:413	28262740::span:521:548	1
28262740::span:410:413	28262740::span:551:553	1
28262740::span:410:413	28262740::span:775:777	1
28262740::span:410:413	28262740::span:895:897	1
28262740::span:511:514	28262740::span:521:548	1
28262740::span:511:514	28262740::span:551:553	1
28262740::span:511:514	28262740::span:775:777	1
28262740::span:511:514	28262740::span:895:897	1
28262740::span:921:924	28262740::span:521:548	1
28262740::span:921:924	28262740::span:551:553	1
28262740::span:921:924	28262740::span:775:777	1
28262740::span:921:924	28262740::span:895:897	1
28262692::span:0:9	28262692::span:498:506	1
28262692::span:952:961	28262692::span:498:506	1
28262692::span:1068:1077	28262692::span:498:506	1
28262692::span:1224:1233	28262692::span:498:506	1
28262692::span:1390:1399	28262692::span:498:506	1
28262692::span:1497:1506	28262692::span:498:506	1
28262692::span:498:506	28262692::span:0:9	1
28262692::span:498:506	28262692::span:952:961	1
28262692::span:498:506	28262692::span:1068:1077	1
28262692::span:498:506	28262692::span:1224:1233	1
28262692::span:498:506	28262692::span:1390:1399	1
28262692::span:498:506	28262692::span:1497:1506	1
28262692::span:0:9	28262692::span:477:492	1
28262692::span:952:961	28262692::span:477:492	1
28262692::span:1068:1077	28262692::span:477:492	1
28262692::span:1224:1233	28262692::span:477:492	1
28262692::span:1390:1399	28262692::span:477:492	1
28262692::span:1497:1506	28262692::span:477:492	1
28262603::span:108:126	28262603::span:1148:1184	1
28262603::span:108:126	28262603::span:1187:1190	1
28262603::span:428:446	28262603::span:1148:1184	1
28262603::span:428:446	28262603::span:1187:1190	1
28262603::span:1148:1184	28262603::span:1058:1075	1
28262603::span:1148:1184	28262603::span:1078:1080	1
28262603::span:1148:1184	28262603::span:1482:1484	1
28262603::span:1148:1184	28262603::span:1566:1568	1
28262603::span:1148:1184	28262603::span:1728:1730	1
28262603::span:1148:1184	28262603::span:1832:1834	1
28262603::span:1148:1184	28262603::span:1931:1933	1
28262603::span:1187:1190	28262603::span:1058:1075	1
